method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),FractionCSP3,28.787878787878785,28.787878787878785,50,50,1.0,50,4.368795521985579,1.607136147425396,0.2370503558394112,1.1877102297255804,0.8090909090909091,0.021739130434782608,0.9347826086956522
MolecuLA raw OLS (seed-excluded),FractionCSP3,31.818181818181813,31.818181818181813,50,50,1.0,50,4.406140087118013,2.0305219485345667,0.5923201783710255,1.3740565968087781,0.7931034482758621,0.0,1.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,34.848484848484844,34.848484848484844,50,50,1.0,50,4.520965845029311,2.055425737495751,0.6044445318232972,1.516344713534698,0.7905926122774383,0.0,0.9795918367346939
MolecuLA raw OLS (seed-excluded),FractionCSP3,37.87878787878788,37.87878787878788,50,50,1.0,50,4.649883853548534,2.213190831497754,0.7596656276642468,1.4826143901045334,0.7936105476673427,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,40.90909090909091,40.90909090909091,50,50,1.0,50,4.656955756159286,2.12238995422603,0.7410216990388621,1.483984124062185,0.8052944862155389,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,43.93939393939394,43.93939393939394,50,50,1.0,50,4.693378408879019,2.143078603216545,0.7410216990388621,1.5435480805062283,0.7900641025641025,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,46.96969696969697,46.96969696969697,50,50,1.0,50,4.667003381419688,2.37745986218467,0.8179237983435554,1.5605093463069144,0.7769886363636364,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,50.0,50.0,50,50,1.0,50,4.614345402860834,2.1848407615172887,0.7688437265414434,1.5215356843177152,0.7713815789473684,0.0,0.98
MolecuLA raw OLS (seed-excluded),FractionCSP3,53.03030303030303,53.03030303030303,50,50,1.0,50,4.775648751674176,2.399941570924955,0.7959788674677126,1.745108315606179,0.7713815789473684,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,56.06060606060606,56.06060606060606,50,50,1.0,50,4.55633948338706,2.1317912028305868,0.8524851021390702,1.6924789582626598,0.7944947209653092,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,59.09090909090909,59.09090909090909,50,50,1.0,50,4.428413197912474,1.8174918893821745,0.7058300979162174,1.6302330349837,0.796264268419232,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,62.121212121212125,62.121212121212125,50,50,1.0,50,4.389067772967496,1.9028215278376654,0.7302817824331185,1.6768190472370337,0.7916666666666666,0.0,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,65.15151515151516,65.15151515151516,50,50,1.0,50,4.45463821371657,1.9144195214746613,0.7758091585303803,1.637142217875672,0.7916666666666666,0.0,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,68.18181818181819,68.18181818181819,50,50,1.0,50,4.289440081700553,1.630452737616256,0.7293761387418234,1.613124142234323,0.8108108108108109,0.02,0.92
MolecuLA raw OLS (seed-excluded),FractionCSP3,71.21212121212122,71.21212121212122,50,50,1.0,50,4.429995972983914,1.9841924189949114,0.8855583671841922,1.7310463588229408,0.7981481481481482,0.02,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,74.24242424242425,74.24242424242425,50,50,1.0,50,4.307482639858433,1.9690968026103106,0.8341893044342831,1.7682474844379268,0.8221804511278196,0.02,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,77.27272727272728,77.27272727272728,50,50,1.0,50,4.324852019861577,1.8966743456208026,0.937808205460973,1.8065922865422337,0.8157894736842105,0.04,0.94
MolecuLA raw OLS (seed-excluded),FractionCSP3,80.30303030303031,80.30303030303031,50,50,1.0,50,4.466333499662517,1.8656775764012252,0.9403690589218188,1.8007552624870486,0.8317610062893082,0.04,0.96
MolecuLA raw OLS (seed-excluded),FractionCSP3,83.33333333333334,83.33333333333334,50,50,1.0,50,4.435003635070175,1.8528347426957898,0.9682903942633379,1.8217646201174333,0.8410526315789473,0.04,0.96
