method,property,seed_id,requested_candidates,valid_candidates,distinct_canonical_structures,median_sa_score,median_np_likeness,median_np_fragment_confidence,valid_changed_candidates,median_delta_sa_vs_seed,median_delta_np_vs_seed,median_delta_np_confidence_vs_seed,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed,sa_and_np_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),BertzCT,24,100,100,36,2.7475679189493913,0.0251286675201,0.745,79,1.2681280035503661,1.9989386905002282,-0.3125,0.11392405063291139,1.0,0.11392405063291139
MolecuLA raw OLS (seed-excluded),BertzCT,25,100,100,56,3.3623881197041325,0.4786285547801,0.803921568627451,90,0.5843934832663549,0.4829233139088933,-0.22499999999999998,0.36666666666666664,0.9444444444444444,0.32222222222222224
MolecuLA raw OLS (seed-excluded),BertzCT,26,100,100,52,3.2631158978512618,0.0251286675201,0.75,90,1.0903678569983626,1.6814561290662233,-0.201740506329114,0.26666666666666666,0.9555555555555556,0.2222222222222222
MolecuLA raw OLS (seed-excluded),BertzCT,27,100,100,51,3.350197039593933,0.5584818497206907,0.75,89,1.4946695196425335,0.5569047193334318,-0.13888888888888884,0.1797752808988764,0.6966292134831461,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,28,100,100,47,2.7896157209126144,0.028953426058708022,0.875,87,1.104879897753591,0.38837709777648505,-0.14516129032258063,0.1724137931034483,0.5977011494252874,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,29,100,100,40,3.1285999695449034,0.4786285547801,0.7294117647058823,82,2.245925826784717,2.251035325307827,-0.31043956043956045,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,30,100,100,51,6.100217510755532,0.0,0.6833333333333333,90,4.334382580625367,1.0558479010234552,-0.25911330049261083,0.0,1.0,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,31,100,100,55,3.3877834329015464,0.611779005127949,0.7692307692307693,89,0.9784541291798341,-0.24972550043535657,-0.17682926829268297,0.4157303370786517,0.29213483146067415,0.033707865168539325
MolecuLA raw OLS (seed-excluded),BertzCT,32,100,100,33,2.89815381569875,0.4786285547801,0.7965517241379311,77,1.0131407653791875,0.022648461514342855,-0.2857142857142857,0.03896103896103896,0.7142857142857143,0.0
MolecuLA raw OLS (seed-excluded),BertzCT,33,100,100,43,2.701044842026315,0.3346176284429322,0.75,76,1.401541234951197,1.0962986040846168,-0.2962962962962963,0.10526315789473684,0.9868421052631579,0.09210526315789473
MolecuLA raw OLS (seed-excluded),BertzCT,34,100,100,49,4.101858883529146,0.2950433008128661,0.7436098069900887,99,1.612263991977179,1.6742598693985367,-0.22592592592592597,0.1111111111111111,1.0,0.1111111111111111
MolecuLA raw OLS (seed-excluded),BertzCT,35,100,100,53,3.8915226655250077,0.053953474172994106,0.7203114860480208,94,1.6172417139484967,1.8813773554618514,-0.314611154752553,0.22340425531914893,1.0,0.22340425531914893
MolecuLA raw OLS (seed-excluded),BertzCT,36,100,100,53,4.398627316954872,0.0162625238144625,0.6666666666666666,87,1.262464229083264,0.9106839596572183,-0.2246376811594203,0.3103448275862069,1.0,0.3103448275862069
MolecuLA raw OLS (seed-excluded),BertzCT,37,100,100,50,2.9266508397554967,0.0349728103137625,0.7424698795180723,91,1.2473131949296636,1.2835372322364713,-0.28728414442700156,0.3076923076923077,0.9560439560439561,0.26373626373626374
MolecuLA raw OLS (seed-excluded),BertzCT,38,100,100,51,3.691727659424906,0.9095067994394092,0.7295127353266888,78,0.7601698202202822,-1.3387205605237007,-0.33333333333333337,0.4358974358974359,0.08974358974358974,0.07692307692307693
MolecuLA raw OLS (seed-excluded),BertzCT,39,100,100,46,2.7475679189493913,0.0251286675201,0.7254901960784313,84,0.905059375794151,0.6462398590388545,-0.28606875719217495,0.13095238095238096,0.9642857142857143,0.09523809523809523
MolecuLA raw OLS (seed-excluded),BertzCT,40,100,100,52,2.9474261053312496,0.0251286675201,0.75,90,0.9926277715589897,1.3107049329048404,-0.25,0.16666666666666666,0.9,0.13333333333333333
MolecuLA raw OLS (seed-excluded),BertzCT,41,100,100,54,3.712149651261737,0.48422013243623463,0.7610970196575777,89,1.5397487919454882,0.6687015117749162,-0.20454545454545459,0.1797752808988764,0.8651685393258427,0.0898876404494382
MolecuLA raw OLS (seed-excluded),BertzCT,42,100,100,57,3.310015941300156,-0.08358284775260001,0.75,91,0.7147220815895095,0.36550641892222174,-0.15909090909090906,0.4065934065934066,0.7362637362637363,0.3076923076923077
MolecuLA raw OLS (seed-excluded),BertzCT,43,100,100,39,2.065451118299608,0.5975523317007333,0.8333333333333334,76,0.7826452575291278,1.0965856531902665,-0.13963963963963966,0.4605263157894737,1.0,0.4605263157894737
MolecuLA raw OLS (seed-excluded),BertzCT,44,100,100,59,3.451272689838124,0.48364558946024927,0.778888888888889,92,1.280104698485688,0.5685429192859592,-0.22564695981485378,0.1956521739130435,0.8152173913043478,0.010869565217391304
MolecuLA raw OLS (seed-excluded),BertzCT,45,100,100,47,3.778161448728379,0.3234201990833122,0.7894736842105263,90,2.0674246610820703,2.014130710215378,-0.19624542124542121,0.25555555555555554,1.0,0.25555555555555554
MolecuLA raw OLS (seed-excluded),BertzCT,46,100,100,54,2.778131738877705,0.17498563922914318,0.75,92,0.6902799423823236,0.9712554546294843,-0.16666666666666663,0.2608695652173913,0.967391304347826,0.22826086956521738
MolecuLA raw OLS (seed-excluded),BertzCT,47,100,100,59,3.619749758279932,0.33264954989298157,0.7685439560439561,95,1.2822691681573222,1.2485679513595156,-0.20454545454545459,0.14736842105263157,0.9894736842105263,0.14736842105263157
MolecuLA raw OLS (seed-excluded),BertzCT,48,100,100,53,2.582447844564893,0.583078877421074,0.875,91,1.4154219551260496,0.9955866602656712,-0.14516129032258063,0.4175824175824176,1.0,0.4175824175824176
MolecuLA raw OLS (seed-excluded),BertzCT,49,100,100,43,2.968732771131176,0.0251286675201,0.75,86,0.23399980432294054,1.1567442685328846,-0.23245614035087714,0.4418604651162791,0.9651162790697675,0.4418604651162791
