scale,property,seed_id,alpha,is_rdkit_valid_ols,changed_from_seed_ols,property_delta_ols,expected_signed_improvement_ols,seed_similarity_tanimoto_ols,scaffold_evaluable_ols,scaffold_retained_ols,sa_score_delta_ols,np_likeness_delta_ols,selfies_len_tokens_ols,is_rdkit_valid_chemspace,changed_from_seed_chemspace,property_delta_chemspace,expected_signed_improvement_chemspace,seed_similarity_tanimoto_chemspace,scaffold_evaluable_chemspace,scaffold_retained_chemspace,sa_score_delta_chemspace,np_likeness_delta_chemspace,selfies_len_tokens_chemspace,alpha_sign,absolute_latent_displacement,improvement_difference_chemspace_minus_ols,sa_delta_difference_chemspace_minus_ols,similarity_difference_chemspace_minus_ols
native_l2,FractionCSP3,3,-60.0,True,True,-0.5882352941176471,0.5882352941176471,0.0188679245283018,False,,0.8402376106018847,0.5848388763362832,45.0,True,True,-0.5882352941176471,0.5882352941176471,0.0166666666666666,False,,4.132376525316277,-0.0251361456717348,154.0,negative,60.0,0.0,3.2921389147143927,-0.002201257861635199
native_l2,FractionCSP3,3,-45.0,True,True,-0.4215686274509804,0.4215686274509804,0.1538461538461538,True,False,-0.069387606256714,-1.0280317941369663,46.0,True,True,-0.5882352941176471,0.5882352941176471,0.0338983050847457,False,,4.120951871808545,-0.0276787988204355,154.0,negative,45.0,0.16666666666666669,4.190339478065259,-0.1199478487614081
native_l2,FractionCSP3,3,-30.0,True,True,-0.3660130718954248,0.3660130718954248,0.2409638554216867,True,False,0.9583193645935086,-0.1207304275827243,47.0,True,True,-0.5882352941176471,0.5882352941176471,0.044776119402985,False,,4.4843400230560855,0.0149742628662592,154.0,negative,30.0,0.22222222222222227,3.526020658462577,-0.19618773601870168
native_l2,FractionCSP3,3,-15.0,True,False,0.0,-0.0,1.0,True,True,0.0,0.0,42.0,True,True,-0.4632352941176471,0.4632352941176471,0.0555555555555555,True,False,1.577425989991922,0.2491631283264294,52.0,negative,15.0,0.4632352941176471,1.577425989991922,-0.9444444444444445
native_l2,FractionCSP3,3,0.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,42.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,42.0,zero,0.0,0.0,0.0,0.0
native_l2,FractionCSP3,3,15.0,True,False,0.0,0.0,1.0,True,True,0.0,0.0,42.0,True,True,0.4117647058823529,0.4117647058823529,0.0519480519480519,False,,0.0033504275706581,0.3499715856875684,48.0,positive,15.0,0.4117647058823529,0.0033504275706581,-0.9480519480519481
native_l2,FractionCSP3,3,30.0,True,True,0.0588235294117647,0.0588235294117647,0.2948717948717949,True,False,1.3356055978044958,0.8830493582014874,42.0,True,True,0.4117647058823529,0.4117647058823529,0.0,False,,1.0193622001796498,-0.0968944828231621,154.0,positive,30.0,0.3529411764705882,-0.316243397624846,-0.2948717948717949
native_l2,FractionCSP3,3,45.0,True,True,0.4117647058823529,0.4117647058823529,0.1111111111111111,True,False,0.7378022879902693,1.2141740724335603,47.0,True,True,0.4117647058823529,0.4117647058823529,0.0,False,,1.0193622001796498,-0.0968944828231621,154.0,positive,45.0,0.0,0.2815599121893806,-0.1111111111111111
native_l2,FractionCSP3,3,60.0,True,True,0.4117647058823529,0.4117647058823529,0.0769230769230769,True,False,1.2518730344593925,1.8750728884699115,47.0,True,True,0.4117647058823529,0.4117647058823529,0.0,False,,1.0193622001796498,-0.0968944828231621,154.0,positive,60.0,0.0,-0.23251083427974262,-0.0769230769230769
native_l2,FractionCSP3,3,75.0,True,True,0.4117647058823529,0.4117647058823529,0.1395348837209302,True,False,1.4097080542553062,1.131961040334016,48.0,True,True,0.4117647058823529,0.4117647058823529,0.0,False,,1.0193622001796498,-0.0968944828231621,154.0,positive,75.0,0.0,-0.39034585407565636,-0.1395348837209302
