scale,property,seed_id,alpha_sign,similarity_rank,ols_alpha,chemspace_alpha,ols_seed_similarity,chemspace_seed_similarity,absolute_similarity_gap,ols_expected_improvement,chemspace_expected_improvement
native_l2,FractionCSP3,1,negative,5,-75.0,-90.0,0.05405405405405406,0.0,0.05405405405405406,0.08333333333333327,0.1666666666666666
native_l2,FractionCSP3,1,negative,6,-45.0,-75.0,0.05063291139240506,0.0,0.05063291139240506,0.04901960784313719,0.1666666666666666
native_l2,FractionCSP3,1,negative,7,-135.0,-60.0,0.025974025974025976,0.0,0.025974025974025976,0.09999999999999994,0.1666666666666666
native_l2,FractionCSP3,1,negative,8,-120.0,-45.0,0.025974025974025976,0.0,0.025974025974025976,0.012820512820512747,0.1666666666666666
native_l2,FractionCSP3,1,negative,9,-150.0,-30.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666
native_l2,FractionCSP3,1,positive,0,15.0,15.0,1.0,0.0625,0.9375,5.551115123125783e-17,0.7083333333333334
native_l2,FractionCSP3,1,positive,1,30.0,150.0,0.078125,0.05,0.028124999999999997,0.41666666666666674,0.8333333333333334
native_l2,FractionCSP3,1,positive,2,120.0,135.0,0.07246376811594203,0.05,0.02246376811594203,0.787878787878788,0.8333333333333334
native_l2,FractionCSP3,1,positive,3,75.0,120.0,0.06944444444444445,0.05,0.019444444444444445,0.7156862745098039,0.8333333333333334
native_l2,FractionCSP3,1,positive,4,45.0,105.0,0.056338028169014086,0.05,0.006338028169014083,0.5,0.8333333333333334
native_l2,FractionCSP3,1,positive,5,60.0,90.0,0.05555555555555555,0.05,0.00555555555555555,0.6458333333333334,0.8333333333333334
native_l2,FractionCSP3,1,positive,6,105.0,75.0,0.05263157894736842,0.05,0.0026315789473684154,0.7898550724637682,0.8333333333333334
native_l2,FractionCSP3,1,positive,7,135.0,60.0,0.04819277108433735,0.05,0.0018072289156626509,0.8063063063063064,0.8333333333333334
native_l2,FractionCSP3,1,positive,8,150.0,45.0,0.04477611940298507,0.05,0.005223880597014931,0.7868217054263567,0.8333333333333334
native_l2,FractionCSP3,1,positive,9,90.0,30.0,0.041666666666666664,0.05,0.008333333333333338,0.8333333333333334,0.8333333333333334
native_l2,FractionCSP3,2,negative,0,-15.0,-15.0,1.0,0.07142857142857142,0.9285714285714286,-0.0,0.21904761904761905
native_l2,FractionCSP3,2,negative,1,-30.0,-150.0,0.1276595744680851,0.0,0.1276595744680851,0.14285714285714285,0.2857142857142857
native_l2,FractionCSP3,2,negative,2,-60.0,-135.0,0.09259259259259259,0.0,0.09259259259259259,-0.02197802197802201,0.2857142857142857
native_l2,FractionCSP3,2,negative,3,-135.0,-120.0,0.09090909090909091,0.0,0.09090909090909091,0.21428571428571427,0.2857142857142857
native_l2,FractionCSP3,2,negative,4,-75.0,-105.0,0.08928571428571429,0.0,0.08928571428571429,0.13186813186813184,0.2857142857142857
native_l2,FractionCSP3,2,negative,5,-90.0,-90.0,0.08771929824561403,0.0,0.08771929824561403,0.14285714285714285,0.2857142857142857
native_l2,FractionCSP3,2,negative,6,-45.0,-75.0,0.07692307692307693,0.0,0.07692307692307693,0.054945054945054916,0.2857142857142857
native_l2,FractionCSP3,2,negative,7,-120.0,-60.0,0.07272727272727272,0.0,0.07272727272727272,0.1948051948051948,0.2857142857142857
native_l2,FractionCSP3,2,negative,8,-150.0,-45.0,0.05263157894736842,0.0,0.05263157894736842,0.2857142857142857,0.2857142857142857
native_l2,FractionCSP3,2,negative,9,-105.0,-30.0,0.05084745762711865,0.0,0.05084745762711865,0.21904761904761905,0.2857142857142857
native_l2,FractionCSP3,2,positive,0,15.0,150.0,1.0,0.07407407407407407,0.9259259259259259,0.0,0.7142857142857143
native_l2,FractionCSP3,2,positive,1,45.0,135.0,0.16216216216216217,0.07407407407407407,0.0880880880880881,0.3392857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,2,30.0,120.0,0.1282051282051282,0.07407407407407407,0.054131054131054124,0.3392857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,3,150.0,105.0,0.07407407407407407,0.07407407407407407,0.0,0.7142857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,4,90.0,90.0,0.05555555555555555,0.07407407407407407,0.018518518518518517,0.4920634920634921,0.7142857142857143
native_l2,FractionCSP3,2,positive,5,60.0,75.0,0.05405405405405406,0.07407407407407407,0.020020020020020013,0.7142857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,6,135.0,60.0,0.05263157894736842,0.07407407407407407,0.021442495126705652,0.7142857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,7,75.0,45.0,0.05,0.07407407407407407,0.024074074074074067,0.7142857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,8,105.0,30.0,0.044444444444444446,0.07407407407407407,0.029629629629629624,0.7142857142857143,0.7142857142857143
native_l2,FractionCSP3,2,positive,9,120.0,15.0,0.043478260869565216,0.07407407407407407,0.030595813204508854,0.7142857142857143,0.7142857142857143
native_l2,FractionCSP3,3,negative,0,-15.0,-15.0,1.0,0.05555555555555555,0.9444444444444444,-0.0,0.4632352941176471
native_l2,FractionCSP3,3,negative,1,-30.0,-30.0,0.24096385542168675,0.04477611940298507,0.19618773601870168,0.36601307189542487,0.5882352941176471
native_l2,FractionCSP3,3,negative,2,-45.0,-120.0,0.15384615384615385,0.04285714285714286,0.110989010989011,0.42156862745098045,0.5882352941176471
native_l2,FractionCSP3,3,negative,3,-90.0,-45.0,0.09278350515463918,0.03389830508474576,0.058885200069893416,0.47058823529411764,0.5882352941176471
native_l2,FractionCSP3,3,negative,4,-120.0,-150.0,0.08421052631578947,0.031914893617021274,0.0522956326987682,0.4007352941176471,0.5882352941176471
native_l2,FractionCSP3,3,negative,5,-150.0,-135.0,0.07865168539325842,0.024390243902439025,0.0542614414908194,0.3574660633484163,0.5882352941176471
native_l2,FractionCSP3,3,negative,6,-105.0,-90.0,0.061224489795918366,0.016666666666666666,0.0445578231292517,0.38823529411764707,0.5882352941176471
native_l2,FractionCSP3,3,negative,7,-135.0,-75.0,0.05813953488372093,0.016666666666666666,0.04147286821705426,0.5882352941176471,0.5882352941176471
