property,alpha,latent_displacement,paired_seeds,raw_valid_fraction,chemspace_valid_fraction,raw_median_expected_improvement,chemspace_median_expected_improvement,median_improvement_difference_chemspace_minus_raw,raw_median_seed_similarity,chemspace_median_seed_similarity
FractionCSP3,25.75757575757575,25.75757575757575,50,1.0,1.0,0.07846153846153847,0.7142857142857143,0.5741176470588236,0.3333333333333333,0.0325224748810153
FractionCSP3,28.787878787878782,28.787878787878782,50,1.0,1.0,0.17783216783216788,0.7142857142857143,0.5,0.23430107526881722,0.0325224748810153
FractionCSP3,31.818181818181813,31.818181818181813,50,1.0,1.0,0.2576086956521739,0.7142857142857143,0.4083333333333333,0.17994310099573257,0.0325224748810153
FractionCSP3,34.848484848484844,34.848484848484844,50,1.0,1.0,0.30119047619047623,0.7142857142857143,0.38278388278388276,0.14854215918045705,0.0325224748810153
FractionCSP3,37.878787878787875,37.878787878787875,50,1.0,1.0,0.35,0.7142857142857143,0.3431372549019608,0.153125,0.0325224748810153
FractionCSP3,40.90909090909091,40.90909090909091,50,1.0,1.0,0.37957875457875456,0.7142857142857143,0.31006864988558347,0.14285714285714285,0.0325224748810153
FractionCSP3,43.93939393939394,43.93939393939394,50,1.0,1.0,0.4295634920634921,0.7142857142857143,0.2788888888888889,0.11436781609195402,0.0325224748810153
FractionCSP3,46.96969696969697,46.96969696969697,50,1.0,1.0,0.4289529914529915,0.7142857142857143,0.26491228070175443,0.1084967320261438,0.0325224748810153
FractionCSP3,50.0,50.0,50,1.0,1.0,0.45375457875457875,0.7142857142857143,0.20714285714285713,0.09846650524616626,0.0325224748810153
FractionCSP3,53.03030303030303,53.03030303030303,50,1.0,1.0,0.5024038461538461,0.7142857142857143,0.18898809523809523,0.1,0.0325224748810153
FractionCSP3,56.06060606060606,56.06060606060606,50,1.0,1.0,0.5264568764568764,0.7142857142857143,0.16666666666666663,0.0949874686716792,0.0325224748810153
FractionCSP3,59.09090909090909,59.09090909090909,50,1.0,1.0,0.5782608695652174,0.7142857142857143,0.13961038961038963,0.09359605911330049,0.0325224748810153
FractionCSP3,62.121212121212125,62.121212121212125,50,1.0,1.0,0.5839727195225917,0.7142857142857143,0.08928571428571426,0.08333333333333333,0.0325224748810153
FractionCSP3,65.15151515151516,65.15151515151516,50,1.0,1.0,0.5864812271062272,0.7142857142857143,0.09761904761904755,0.08022988505747126,0.0325224748810153
FractionCSP3,68.18181818181819,68.18181818181819,50,1.0,1.0,0.6069002006933042,0.7142857142857143,0.07793522267206475,0.07835566659096072,0.0325224748810153
