method,property,alpha,latent_displacement,requested_candidates,valid_count,valid_fraction,changed_from_seed_count,changed_from_seed_fraction_all,changed_from_seed_fraction_valid,median_property,median_property_delta,median_expected_signed_improvement,expected_sign_fraction_valid,median_seed_similarity,q25_seed_similarity,q75_seed_similarity,scaffold_evaluable_count,scaffold_retention_fraction
MolecuLA raw OLS (seed-excluded),FractionCSP3,53.03030303030303,53.03030303030303,50,50,1.0,50,1.0,1.0,0.8110119047619048,0.5024038461538461,0.5024038461538461,1.0,0.1,0.07437548790007806,0.1199290060851927,44,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,56.06060606060606,56.06060606060606,50,50,1.0,50,1.0,1.0,0.8333333333333334,0.5264568764568764,0.5264568764568764,0.98,0.0949874686716792,0.0687046004842615,0.11839481555333999,40,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,59.09090909090909,59.09090909090909,50,50,1.0,50,1.0,1.0,0.8603896103896104,0.5782608695652174,0.5782608695652174,1.0,0.09359605911330049,0.06694915254237288,0.12550607287449395,40,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,62.121212121212125,62.121212121212125,50,50,1.0,50,1.0,1.0,0.9107142857142857,0.5839727195225917,0.5839727195225917,1.0,0.08333333333333333,0.06420595533498759,0.11607142857142858,40,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,65.15151515151516,65.15151515151516,50,50,1.0,50,1.0,1.0,0.9023809523809524,0.5864812271062272,0.5864812271062272,1.0,0.08022988505747126,0.05512868565717141,0.10638862102217936,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,68.18181818181819,68.18181818181819,50,50,1.0,50,1.0,1.0,0.9220647773279352,0.6069002006933042,0.6069002006933042,1.0,0.07835566659096072,0.05358695652173913,0.10980392156862745,40,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,71.21212121212122,71.21212121212122,50,50,1.0,50,1.0,1.0,0.9166666666666667,0.6215201465201465,0.6215201465201465,1.0,0.07878411910669975,0.05615942028985507,0.10315438871473354,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,74.24242424242425,74.24242424242425,50,50,1.0,50,1.0,1.0,0.9473684210526315,0.6284325889164599,0.6284325889164599,1.0,0.06937568756875688,0.05,0.10309641097818438,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,77.27272727272728,77.27272727272728,50,50,1.0,50,1.0,1.0,0.9473684210526315,0.637948717948718,0.637948717948718,1.0,0.06879648411088574,0.048314144736842105,0.09972527472527473,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,80.30303030303031,80.30303030303031,50,50,1.0,50,1.0,1.0,0.949874686716792,0.6848739495798319,0.6848739495798319,1.0,0.07504928189242466,0.04660247093023256,0.09845346589339961,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,83.33333333333334,83.33333333333334,50,50,1.0,50,1.0,1.0,0.9582608695652174,0.6573015873015873,0.6573015873015873,1.0,0.06716791979949874,0.04674934873711632,0.09511278195488722,41,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,86.36363636363637,86.36363636363637,50,50,1.0,50,1.0,1.0,0.9636243386243386,0.6715261862320686,0.6715261862320686,1.0,0.06666666666666667,0.04765625,0.09438596491228071,44,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,89.3939393939394,89.3939393939394,50,50,1.0,50,1.0,1.0,0.9655172413793104,0.6772030651340997,0.6772030651340997,1.0,0.06299603174603174,0.04102891156462585,0.0885910815939279,47,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,92.42424242424244,92.42424242424244,50,50,1.0,50,1.0,1.0,0.9666666666666667,0.6823734236777715,0.6823734236777715,1.0,0.06774475524475523,0.04325396825396825,0.09195402298850575,48,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,95.45454545454544,95.45454545454544,50,50,1.0,50,1.0,1.0,0.9699820788530467,0.6573015873015873,0.6573015873015873,1.0,0.06539558089807555,0.047619047619047616,0.08314220183486239,46,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,98.48484848484847,98.48484848484847,50,50,1.0,50,1.0,1.0,0.9666666666666667,0.6832792207792209,0.6832792207792209,1.0,0.06447368421052632,0.04327852998065764,0.08514001806684733,47,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,101.5151515151515,101.5151515151515,50,50,1.0,50,1.0,1.0,0.9672043010752689,0.6832792207792209,0.6832792207792209,1.0,0.06060828680575962,0.039702970297029704,0.07782451923076923,48,0.0
MolecuLA raw OLS (seed-excluded),FractionCSP3,104.54545454545453,104.54545454545453,50,50,1.0,50,1.0,1.0,0.9692234848484849,0.6721153846153847,0.6721153846153847,1.0,0.05843860248093775,0.03393617021276596,0.07663170163170163,46,0.0
