property,direction_type,direction_target,alpha,response,decode_count,valid_count,validity,median_value,q25_value,q75_value,median_change_from_seed,q25_change_from_seed,q75_change_from_seed,expected_sign_fraction
BertzCT,raw_property,BertzCT,-107.57575757575758,diagnostic_residual,50,50,1.0,298.5626357891439,281.82089263801447,316.7279427685432,303.93218978276366,246.6488223480226,407.8611801853689,0.02
BertzCT,raw_property,BertzCT,-104.54545454545456,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.1373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-104.54545454545456,diagnostic_residual,50,50,1.0,298.5626357891439,281.82089263801447,313.98839190475115,303.93218978276366,246.6488223480226,407.8611801853689,0.02
BertzCT,raw_property,BertzCT,-101.51515151515152,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.1373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-101.51515151515152,diagnostic_residual,50,50,1.0,298.5626357891439,281.82089263801447,316.7279427685432,295.4540384235974,246.6488223480226,407.8611801853689,0.02
BertzCT,raw_property,BertzCT,-98.48484848484848,raw_property,50,50,1.0,0.0,0.0,0.0,-733.5321357194807,-891.1373629240833,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-98.48484848484848,diagnostic_residual,50,50,1.0,298.5626357891439,280.3182543890291,313.98839190475115,291.2200958604552,240.45593000648734,404.8027230843256,0.02
BertzCT,raw_property,BertzCT,-95.45454545454544,raw_property,50,50,1.0,0.0,0.0,1.5,-733.5321357194807,-887.4582839452935,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-95.45454545454544,diagnostic_residual,50,50,1.0,292.4457215870572,274.86982593818794,305.7697393133751,291.2200958604552,224.06508184455024,404.8027230843256,0.02
BertzCT,raw_property,BertzCT,-92.42424242424242,raw_property,50,50,1.0,0.0,0.0,2.0,-731.154691968399,-887.4582839452935,-483.04385934891155,1.0
BertzCT,raw_property,BertzCT,-92.42424242424242,diagnostic_residual,50,50,1.0,286.32880738497056,256.46880364725615,305.7697393133751,288.9940371213613,221.03927479190776,404.8027230843256,0.04
BertzCT,raw_property,BertzCT,-89.39393939393939,raw_property,50,50,1.0,0.0,0.0,4.754887502163469,-724.348847242185,-887.1980410959173,-482.7154278368439,1.0
BertzCT,raw_property,BertzCT,-89.39393939393939,diagnostic_residual,50,50,1.0,286.32880738497056,198.5714580871686,305.7697393133751,288.9940371213613,196.08842236134586,387.33569281020675,0.06
BertzCT,raw_property,BertzCT,-86.36363636363637,raw_property,50,50,1.0,1.0,0.0,4.754887502163469,-723.1037347443485,-887.1980410959173,-482.7154278368439,1.0
BertzCT,raw_property,BertzCT,-86.36363636363637,diagnostic_residual,50,50,1.0,280.3182543890291,196.28482312355797,305.7697393133751,275.92480383241093,185.3976067396409,348.3303011085056,0.08
BertzCT,raw_property,BertzCT,-83.33333333333333,raw_property,50,50,1.0,2.0,0.0,13.5,-722.3988356241724,-887.1980410959173,-482.7154278368439,1.0
BertzCT,raw_property,BertzCT,-83.33333333333333,diagnostic_residual,50,50,1.0,280.3182543890291,194.21865749693535,303.96796343231733,267.3976700504709,182.82956548227682,328.46021378774043,0.08
BertzCT,raw_property,BertzCT,-80.3030303030303,raw_property,50,50,1.0,2.0,0.0,15.132331253245201,-722.3988356241724,-887.1980410959173,-476.15552614482965,1.0
BertzCT,raw_property,BertzCT,-80.3030303030303,diagnostic_residual,50,50,1.0,277.5940401636085,172.39749737154435,293.4585003892304,263.2328847344206,147.7026232111396,326.99995089484946,0.1
BertzCT,raw_property,BertzCT,-77.27272727272728,raw_property,50,50,1.0,7.509775004326936,0.0,21.219280948873624,-724.5821241014681,-887.1980410959173,-476.15552614482965,1.0
BertzCT,raw_property,BertzCT,-77.27272727272728,diagnostic_residual,50,50,1.0,223.18220204536166,142.01878600449282,286.32880738497056,259.50975139947525,125.00570232913162,328.0089448448762,0.1
BertzCT,raw_property,BertzCT,-74.24242424242425,raw_property,50,50,1.0,7.509775004326936,0.5,26.51955000865388,-720.9724836270314,-866.1687160829365,-476.15552614482965,1.0
